Date,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Revenues,Tax Revenues,BIR,BOC,Other Offices,Non-tax Revenues,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Expenditures,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
3/1/98,8.2,0,1539321.16,2613.6,2474.18,15.65,32.73,51.62,39.004,705979,101940.8544,96502.91672,5087.78,198443.7711,220115.28524050524,72272429.36167203,31979,27776,21154,6353,269,4203,1659,2412,35,0,9,88,0,0,0,0,38282,4637,9232,26,172,0,-22,24237,0,0,0,0,0
4/1/98,8.7,0,0,2457.46,2284.5,0,0,0,38.4422,0,94470.16881,87821.2059,4741.96,182291.3747,224460.76034127403,72237483.55434683,55553,52265,46473,5503,289,3288,1310,1948,27,0,1,2,0,0,0,0,41782,5534,8254,99,330,0,19,27546,0,0,0,0,0
5/1/98,9.8,0,0,2624.02,2414.74,0,0,0,39.2971,0,103116.3763,94892.27925,5038.76,198008.6556,244736.84864952145,72206420.61450227,28227,25527,19760,5469,298,2700,1388,1186,31,0,95,0,0,0,0,0,45675,5861,6437,3,437,0,16,32921,0,0,0,0,0
6/1/98,10.2,0,1593749.81,2260.74,2389.57,13.34,32.55,54.1,40.3991,738060,91331.86133,96536.47739,4650.3099999999995,187868.3387,252654.9202660402,72179240.54213834,31665,29246,24275,4825,146,2419,970,1414,13,0,18,4,0,0,0,0,40223,4997,7324,12,420,409,-269,27330,0,0,0,0,0
7/1/98,10.1,0,0,2465.59,2501.37,0,0,0,41.7805,0,103013.583,104508.4893,4966.96,207522.0723,255099.0625444014,72155943.33725484,52921,42731,34132,8324,275,10190,7741,2418,19,0,0,12,0,0,0,0,42491,8277,8594,4,314,0,166,25136,0,0,0,0,1
8/1/98,10.1,0,0,2508.47,2652.45,0,0,0,43.0375,0,107958.2776,114154.8169,5160.92,222113.0945,249765.65084379248,72136528.99985196,33834,28878,21545,6741,592,4956,4123,573,27,0,232,1,0,0,0,0,42964,6535,10015,0,452,5,-297,26254,0,0,0,0,0
9/1/98,10.2,0,1573879.49,2454.45,2786.32,13.06,34.2,52.74,43.7759,748152,107445.7578,121973.6657,5240.77,229419.4235,252379.0110644281,72120997.53,38058,33949,26793,6818,338,4109,1758,1202,19,0,1113,17,0,0,0,0,41057,4630,10273,0,289,4,375,25486,0,0,0,0,0
10/1/98,10,0,0,2417.41,2542.3,0,0,0,42.8882,0,103678.3636,109034.6709,4959.71,212713.0345,244375.61114802456,72109348.92748794,44392,40914,33553,7061,300,3478,1511,1932,11,0,0,24,0,0,0,0,44100,6694,9852,0,362,0,276,26916,0,0,0,0,0
11/1/98,10.6,0,0,2373.4,2585.82,0,0,0,39.9435,0,94801.9029,103286.7012,4959.22,198088.6041,245171.4793,72101583.19252683,33899,33653,26766,6586,301,246,-1297,1437,0,0,98,8,0,0,0,0,48721,6919,7046,3,558,111,-251,34335,0,0,0,0,0
12/1/98,10,73908810,1801916.29,2061.61,2523.08,15.79,31.84,52.37,39.0733,854030,80553.90601,98585.06176,4584.6900000000005,179138.9678,280781.0634,74271251.45820643,40307,34190,28334,5730,126,6117,2056,3922,0,0,139,0,0,0,0,0,50056,5647,7809,14,1068,209,137,35172,0,0,0,0,0
