Date,BIR,BOC,Other Offices,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements
9/1/2018,130573,51075,1589,7190,4788,0,2245.649,362,0,0,4528,0,0,47868,32675,1982,19583,770,1078,194642
10/1/2018,164792,55953,1628,8371,6287,0,2454.002,29,0,0,7248,0,0,44601,24015,831,1551,25,-1316,236920
11/1/2018,192048,47902,2278,4725,5913,0,2354.166,14,0,0,4468,0,0,44059,24660,690,8086,90,990,220245
12/1/2018,150837,54637,503,10595,3669,0,2588.189,218,29,0,9133,0,0,44168,29213,6083,2181,23,-1636,233219
1/1/2019,185088,48376,1952,9608,5785,0,2464,0,0,0,3469,0,0,0,45916,1281,795,0,-406,164619
2/1/2019,135720,44200,2380,9181,3245,0,2092,11.35,4,0,5252,0,0,97328,25302,1283,2769,20,3252,148504
3/1/2019,147411,49294,1564,12046,4493,0,2213,16,29,0,11852,0,0,52173,36552,1423,5740,22,698,190719
4/1/2019,235461,51674,1562,10454,4102,0,2274,23,8,0,3118,0,0,47967,23536,2908,5115,51,135,142092
5/1/2019,204838,58168,2482,35666,3439,0,2317,198,6,0,10122,0,0,47957,19669,2289,5239,75,14963,224480
6/1/2019,157829,51298,1423,10681,3318,0,2487,14,91,0,6745,0,0,50293,29096,2396,7040,409,170,186320
7/1/2019,180341,54644,1796,14360,5290,0,2754,20,1,0,4888,0,0,49166,50965,603,38288,163,-1308,201513
8/1/2019,205587,53593,2540,5913,4881,0,2467,17,0,0,4747,0,0,53670,19611,4143,31808,86,3197,169718
9/1/2019,150475,58802,1657,10701,5045,0,2119,8,6,0,7715,0,0,59812,43094,5742,60275,854,-4788,250096
10/1/2019,178122,57652,1844,10612,7326,0,1802,184,45,0,3966,0,0,53847,20724,851,7238,55,1208,226892
11/1/2019,232059,50414,2032,5495,3465,0,1872,-143,0,0,9555,0,0,51999,17287,1713,11815,29,-237,283026
12/1/2019,162575,52195,1461,11805,5009,0,1705,534,69,0,7933,0,0,53784,29122,2683,25402,1558,180,381660
